,animals,faith,family,fashion,food,lgbtq,meetup,military,misc,personal,pop_culture,qna,relationships,school,sports,tattoos,work
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,12,0,0,0,1,0,0,0,5,5,1,1,1,0,0,0,0
1,0,2,2,0,0,0,0,0,4,3,0,0,0,0,0,0,0
2,0,0,72,1,1,0,2,0,5,17,0,4,6,1,0,0,1
3,0,0,0,6,0,0,0,0,14,20,0,0,1,0,0,0,1
4,0,0,3,0,27,0,0,0,22,9,0,0,0,0,0,0,2
5,0,0,0,1,0,84,30,0,6,19,1,1,3,2,0,0,0
6,1,0,1,1,0,17,619,0,58,26,0,8,4,1,0,0,1
7,0,0,1,0,1,0,1,7,1,3,0,0,0,0,0,0,0
8,1,1,2,0,5,1,61,0,408,161,5,19,17,0,0,0,2
9,4,0,12,5,1,9,28,2,179,582,12,18,37,8,1,2,10
10,3,0,1,0,0,1,3,0,61,41,33,5,2,0,0,0,0
11,0,0,1,2,1,2,31,0,38,25,6,100,11,3,0,1,0
12,0,0,6,0,3,0,7,0,35,92,2,12,174,3,1,0,2
13,1,0,4,0,0,0,1,0,8,9,0,4,3,43,1,0,0
14,0,0,0,0,0,0,0,0,1,6,0,0,0,0,3,0,0
15,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,11,0
16,0,1,0,0,3,0,2,1,3,10,0,0,2,1,0,0,26